Term,Course/Section,Course Offering Id,Days Met,Start Date,End Date,Start Time,End Time,Room,Instructor
202211 (CS Spring)  ,LAND 240/700 LEC,25017,,1/18/2022,5/10/2022,,,ONLINE ONLINE,Newman
202211 (CS Spring)  ,LAND 240/701 LEC,43668,,12/31/2021,1/10/2022,,,ONLINE ONLINE,Newman
202211 (CS Spring)  ,LAND 241/500 LEC,38660,TR,1/18/2022,5/10/2022,9:35 AM,10:50 AM,HEB 137,Woodfin
202211 (CS Spring)  ,LAND 312/501 LAB,26346,MWF,1/18/2022,5/10/2022,1:31 PM,4:00 PM,,Rising
202211 (CS Spring)  ,LAND 312/501 LEC,26346,MW,1/18/2022,5/10/2022,12:40 PM,1:30 PM,ARCC 305,Rising
202211 (CS Spring)  ,LAND 312/512 LAB,27902,MWF,1/18/2022,5/10/2022,1:31 PM,4:00 PM,,Wang
202211 (CS Spring)  ,LAND 312/512 LEC,27902,MW,1/18/2022,5/10/2022,12:40 PM,1:30 PM,ARCC 305,Wang
202211 (CS Spring)  ,LAND 331/501 LAB,11378,TR,1/18/2022,5/10/2022,3:11 PM,4:50 PM,ARCA 300A,Winslow
202211 (CS Spring)  ,LAND 331/501 LEC,11378,TR,1/18/2022,5/10/2022,2:20 PM,3:10 PM,ARCC 111,Winslow
202211 (CS Spring)  ,LAND 331/502 LAB,19480,TR,1/18/2022,5/10/2022,3:11 PM,4:50 PM,ARCA 300B,Winslow
202211 (CS Spring)  ,LAND 331/502 LEC,19480,TR,1/18/2022,5/10/2022,2:20 PM,3:10 PM,ARCC 111,Winslow
202211 (CS Spring)  ,LAND 412/501 LAB,26348,MW,1/18/2022,5/10/2022,1:31 PM,4:00 PM,ARCA 300B,Lee
202211 (CS Spring)  ,LAND 412/501 LAB,26348,F,1/18/2022,5/10/2022,1:31 PM,4:00 PM,ARCA 348,Lee
202211 (CS Spring)  ,LAND 412/501 LEC,26348,MW,1/18/2022,5/10/2022,12:40 PM,1:30 PM,ARCC 111,Lee
202211 (CS Spring)  ,LAND 412/502 LAB,26349,F,1/18/2022,5/10/2022,1:31 PM,4:00 PM,ARCA 348,Lee
202211 (CS Spring)  ,LAND 412/502 LAB,26349,MW,1/18/2022,5/10/2022,1:31 PM,4:00 PM,ARCA 300B,Lee
202211 (CS Spring)  ,LAND 412/502 LEC,26349,MW,1/18/2022,5/10/2022,12:40 PM,1:30 PM,ARCC 111,Lee
202211 (CS Spring)  ,LAND 431/900 LEC,32897,MW,1/18/2022,5/10/2022,4:10 PM,5:25 PM,ARCC 111,Winslow
202211 (CS Spring)  ,LAND 485/500 INS,44544,,1/18/2022,5/10/2022,,,,Hurst
202211 (CS Spring)  ,LAND 485/501 INS,44681,,1/18/2022,5/10/2022,,,,Hurst
202211 (CS Spring)  ,LAND 485/507 INS,20378,,1/18/2022,5/10/2022,,,,Dvorak
202211 (CS Spring)  ,LAND 489/500 LAB,44785,,1/18/2022,5/10/2022,,,,Winslow
202211 (CS Spring)  ,LAND 489/500 LEC,44785,MW,1/18/2022,5/10/2022,9:30 AM,11:30 AM,,Winslow
